0. predicted: cord, actual: cord
1.0
1. predicted: cord, actual: cord
2. predicted: cord, actual: cord
3. predicted: phone, actual: cord
4. predicted: formation, actual: cord
5. predicted: cord, actual: cord
6. predicted: text, actual: cord
7. predicted: cord, actual: cord
8. predicted: text, actual: cord
9. predicted: cord, actual: cord
10. predicted: cord, actual: cord
11. predicted: formation, actual: cord
12. predicted: phone, actual: cord
13. predicted: cord, actual: cord
14. predicted: cord, actual: cord
15. predicted: cord, actual: cord
16. predicted: cord, actual: cord
17. predicted: cord, actual: cord
18. predicted: cord, actual: cord
19. predicted: formation, actual: cord
20. predicted: cord, actual: cord
21. predicted: cord, actual: cord
22. predicted: cord, actual: cord
23. predicted: cord, actual: cord
24. predicted: cord, actual: cord
25. predicted: cord, actual: cord
26. predicted: cord, actual: cord
27. predicted: formation, actual: cord
28. predicted: cord, actual: cord
29. predicted: cord, actual: cord
30. predicted: cord, actual: cord
31. predicted: formation, actual: cord
32. predicted: cord, actual: cord
33. predicted: formation, actual: cord
34. predicted: cord, actual: cord
35. predicted: formation, actual: cord
36. predicted: formation, actual: cord
37. predicted: formation, actual: cord
38. predicted: cord, actual: cord
39. predicted: cord, actual: cord
40. predicted: cord, actual: cord
41. predicted: cord, actual: cord
42. predicted: cord, actual: cord
43. predicted: cord, actual: cord
44. predicted: cord, actual: cord
45. predicted: cord, actual: cord
46. predicted: formation, actual: cord
47. predicted: cord, actual: cord
48. predicted: cord, actual: cord
49. predicted: cord, actual: cord
50. predicted: formation, actual: cord
51. predicted: cord, actual: cord
52. predicted: cord, actual: cord
53. predicted: cord, actual: cord
54. predicted: formation, actual: cord
55. predicted: cord, actual: cord
56. predicted: cord, actual: cord
57. predicted: cord, actual: cord
58. predicted: cord, actual: cord
59. predicted: cord, actual: cord
60. predicted: cord, actual: cord
61. predicted: cord, actual: cord
62. predicted: cord, actual: cord
63. predicted: formation, actual: cord
64. predicted: cord, actual: cord
65. predicted: formation, actual: cord
66. predicted: cord, actual: cord
67. predicted: cord, actual: cord
68. predicted: formation, actual: cord
69. predicted: formation, actual: cord
70. predicted: cord, actual: cord
71. predicted: text, actual: cord
72. predicted: formation, actual: cord
73. predicted: text, actual: cord
74. predicted: cord, actual: cord
75. predicted: formation, actual: cord
76. predicted: text, actual: cord
77. predicted: cord, actual: cord
78. predicted: cord, actual: cord
79. predicted: text, actual: cord
80. predicted: cord, actual: cord
81. predicted: cord, actual: cord
82. predicted: cord, actual: cord
83. predicted: formation, actual: cord
84. predicted: cord, actual: cord
85. predicted: cord, actual: cord
86. predicted: cord, actual: cord
87. predicted: cord, actual: cord
88. predicted: cord, actual: cord
89. predicted: text, actual: cord
90. predicted: cord, actual: cord
91. predicted: cord, actual: cord
92. predicted: cord, actual: cord
93. predicted: cord, actual: cord
94. predicted: cord, actual: cord
95. predicted: cord, actual: cord
96. predicted: text, actual: cord
97. predicted: cord, actual: cord
98. predicted: cord, actual: cord
99. predicted: formation, actual: cord
100. predicted: text, actual: cord
0.693069306930693
101. predicted: cord, actual: cord
102. predicted: cord, actual: cord
103. predicted: formation, actual: cord
104. predicted: formation, actual: cord
105. predicted: cord, actual: cord
106. predicted: cord, actual: cord
107. predicted: text, actual: cord
108. predicted: cord, actual: cord
109. predicted: formation, actual: cord
110. predicted: cord, actual: cord
111. predicted: cord, actual: cord
112. predicted: cord, actual: cord
113. predicted: text, actual: cord
114. predicted: formation, actual: cord
115. predicted: cord, actual: cord
116. predicted: cord, actual: cord
117. predicted: formation, actual: cord
118. predicted: cord, actual: cord
119. predicted: text, actual: cord
120. predicted: cord, actual: cord
121. predicted: cord, actual: cord
122. predicted: formation, actual: cord
123. predicted: cord, actual: cord
124. predicted: cord, actual: cord
125. predicted: cord, actual: cord
126. predicted: cord, actual: cord
127. predicted: cord, actual: cord
128. predicted: cord, actual: cord
129. predicted: cord, actual: cord
130. predicted: cord, actual: cord
131. predicted: cord, actual: cord
132. predicted: formation, actual: cord
133. predicted: formation, actual: cord
134. predicted: cord, actual: cord
135. predicted: cord, actual: cord
136. predicted: formation, actual: cord
137. predicted: formation, actual: cord
138. predicted: cord, actual: cord
139. predicted: cord, actual: cord
140. predicted: cord, actual: cord
141. predicted: cord, actual: cord
142. predicted: cord, actual: cord
143. predicted: cord, actual: cord
144. predicted: cord, actual: cord
145. predicted: cord, actual: cord
146. predicted: cord, actual: cord
147. predicted: cord, actual: cord
148. predicted: cord, actual: cord
149. predicted: cord, actual: cord
150. predicted: cord, actual: cord
151. predicted: formation, actual: cord
152. predicted: cord, actual: cord
153. predicted: cord, actual: cord
154. predicted: cord, actual: cord
155. predicted: cord, actual: cord
156. predicted: cord, actual: cord
157. predicted: cord, actual: cord
158. predicted: cord, actual: cord
159. predicted: formation, actual: cord
160. predicted: cord, actual: cord
161. predicted: cord, actual: cord
162. predicted: formation, actual: cord
163. predicted: cord, actual: cord
164. predicted: cord, actual: cord
165. predicted: cord, actual: cord
166. predicted: cord, actual: cord
167. predicted: cord, actual: cord
168. predicted: cord, actual: cord
169. predicted: formation, actual: cord
170. predicted: cord, actual: cord
171. predicted: formation, actual: cord
172. predicted: cord, actual: cord
173. predicted: formation, actual: cord
174. predicted: cord, actual: cord
175. predicted: cord, actual: cord
176. predicted: cord, actual: cord
177. predicted: cord, actual: cord
178. predicted: cord, actual: cord
179. predicted: cord, actual: cord
180. predicted: cord, actual: cord
181. predicted: cord, actual: cord
182. predicted: text, actual: cord
183. predicted: text, actual: cord
184. predicted: cord, actual: cord
185. predicted: cord, actual: cord
186. predicted: cord, actual: cord
187. predicted: formation, actual: cord
188. predicted: cord, actual: cord
189. predicted: formation, actual: cord
190. predicted: cord, actual: cord
191. predicted: cord, actual: cord
192. predicted: formation, actual: cord
193. predicted: cord, actual: cord
194. predicted: formation, actual: cord
195. predicted: cord, actual: cord
196. predicted: cord, actual: cord
197. predicted: formation, actual: cord
198. predicted: formation, actual: cord
199. predicted: cord, actual: cord
200. predicted: formation, actual: cord
0.7064676616915423
201. predicted: formation, actual: cord
202. predicted: cord, actual: cord
203. predicted: cord, actual: cord
204. predicted: cord, actual: cord
205. predicted: text, actual: cord
206. predicted: formation, actual: cord
207. predicted: cord, actual: cord
208. predicted: cord, actual: cord
209. predicted: formation, actual: cord
210. predicted: cord, actual: cord
211. predicted: cord, actual: cord
212. predicted: formation, actual: cord
213. predicted: cord, actual: cord
214. predicted: cord, actual: cord
215. predicted: cord, actual: cord
216. predicted: cord, actual: cord
217. predicted: cord, actual: cord
218. predicted: cord, actual: cord
219. predicted: cord, actual: cord
220. predicted: formation, actual: cord
221. predicted: formation, actual: cord
222. predicted: formation, actual: cord
223. predicted: cord, actual: cord
224. predicted: cord, actual: cord
225. predicted: formation, actual: cord
226. predicted: cord, actual: cord
227. predicted: cord, actual: cord
228. predicted: formation, actual: cord
229. predicted: formation, actual: cord
230. predicted: cord, actual: cord
231. predicted: cord, actual: cord
232. predicted: cord, actual: cord
233. predicted: formation, actual: cord
234. predicted: cord, actual: cord
235. predicted: text, actual: cord
236. predicted: text, actual: cord
237. predicted: cord, actual: cord
238. predicted: formation, actual: cord
239. predicted: cord, actual: cord
240. predicted: cord, actual: cord
241. predicted: cord, actual: cord
242. predicted: cord, actual: cord
243. predicted: text, actual: cord
244. predicted: cord, actual: cord
245. predicted: cord, actual: cord
246. predicted: formation, actual: cord
247. predicted: cord, actual: cord
248. predicted: cord, actual: cord
249. predicted: text, actual: cord
250. predicted: cord, actual: cord
251. predicted: cord, actual: cord
252. predicted: cord, actual: cord
253. predicted: cord, actual: cord
254. predicted: cord, actual: cord
255. predicted: cord, actual: cord
256. predicted: cord, actual: cord
257. predicted: formation, actual: cord
258. predicted: cord, actual: cord
259. predicted: cord, actual: cord
260. predicted: cord, actual: cord
261. predicted: cord, actual: cord
262. predicted: cord, actual: cord
263. predicted: cord, actual: cord
264. predicted: cord, actual: cord
265. predicted: cord, actual: cord
266. predicted: formation, actual: cord
267. predicted: cord, actual: cord
268. predicted: cord, actual: cord
269. predicted: formation, actual: cord
270. predicted: cord, actual: cord
271. predicted: formation, actual: cord
272. predicted: cord, actual: cord
273. predicted: formation, actual: cord
274. predicted: cord, actual: cord
275. predicted: cord, actual: cord
276. predicted: cord, actual: cord
277. predicted: cord, actual: cord
278. predicted: cord, actual: cord
279. predicted: text, actual: cord
280. predicted: cord, actual: cord
281. predicted: cord, actual: cord
282. predicted: cord, actual: cord
283. predicted: formation, actual: cord
284. predicted: cord, actual: cord
285. predicted: cord, actual: cord
286. predicted: cord, actual: cord
287. predicted: cord, actual: cord
288. predicted: cord, actual: cord
289. predicted: formation, actual: cord
290. predicted: cord, actual: cord
291. predicted: cord, actual: cord
292. predicted: cord, actual: cord
293. predicted: cord, actual: cord
294. predicted: cord, actual: cord
295. predicted: cord, actual: cord
296. predicted: cord, actual: cord
297. predicted: formation, actual: cord
298. predicted: cord, actual: cord
299. predicted: cord, actual: cord
300. predicted: cord, actual: cord
0.7142857142857143
301. predicted: cord, actual: cord
302. predicted: cord, actual: cord
303. predicted: formation, actual: cord
304. predicted: text, actual: cord
305. predicted: cord, actual: cord
306. predicted: cord, actual: cord
307. predicted: cord, actual: cord
308. predicted: cord, actual: cord
309. predicted: formation, actual: cord
310. predicted: cord, actual: cord
311. predicted: cord, actual: cord
312. predicted: cord, actual: cord
313. predicted: cord, actual: cord
314. predicted: cord, actual: cord
315. predicted: formation, actual: cord
316. predicted: formation, actual: cord
317. predicted: formation, actual: cord
318. predicted: cord, actual: cord
319. predicted: cord, actual: cord
320. predicted: cord, actual: cord
321. predicted: cord, actual: cord
322. predicted: cord, actual: cord
323. predicted: cord, actual: cord
324. predicted: cord, actual: cord
325. predicted: cord, actual: cord
326. predicted: formation, actual: cord
327. predicted: formation, actual: cord
328. predicted: cord, actual: cord
329. predicted: cord, actual: cord
330. predicted: cord, actual: cord
331. predicted: cord, actual: cord
332. predicted: cord, actual: cord
333. predicted: cord, actual: cord
334. predicted: formation, actual: cord
335. predicted: cord, actual: cord
336. predicted: formation, actual: cord
337. predicted: cord, actual: cord
338. predicted: cord, actual: cord
339. predicted: cord, actual: cord
340. predicted: cord, actual: cord
341. predicted: cord, actual: cord
342. predicted: cord, actual: cord
343. predicted: formation, actual: cord
344. predicted: formation, actual: cord
345. predicted: cord, actual: cord
346. predicted: cord, actual: cord
347. predicted: cord, actual: cord
348. predicted: cord, actual: cord
349. predicted: formation, actual: cord
350. predicted: cord, actual: cord
351. predicted: cord, actual: cord
352. predicted: cord, actual: cord
353. predicted: cord, actual: cord
354. predicted: cord, actual: cord
355. predicted: cord, actual: cord
356. predicted: formation, actual: cord
357. predicted: text, actual: cord
358. predicted: cord, actual: cord
359. predicted: formation, actual: cord
360. predicted: cord, actual: cord
361. predicted: cord, actual: cord
362. predicted: cord, actual: cord
363. predicted: cord, actual: cord
364. predicted: cord, actual: cord
365. predicted: cord, actual: cord
366. predicted: formation, actual: cord
367. predicted: cord, actual: cord
368. predicted: formation, actual: cord
369. predicted: cord, actual: cord
370. predicted: cord, actual: cord
371. predicted: formation, actual: cord
372. predicted: formation, actual: cord
373. predicted: formation, actual: division
374. predicted: formation, actual: division
375. predicted: formation, actual: division
376. predicted: formation, actual: division
377. predicted: formation, actual: division
378. predicted: formation, actual: division
379. predicted: cord, actual: division
380. predicted: cord, actual: division
381. predicted: formation, actual: division
382. predicted: text, actual: division
383. predicted: cord, actual: division
384. predicted: formation, actual: division
385. predicted: formation, actual: division
386. predicted: cord, actual: division
387. predicted: cord, actual: division
388. predicted: formation, actual: division
389. predicted: text, actual: division
390. predicted: cord, actual: division
391. predicted: cord, actual: division
392. predicted: cord, actual: division
393. predicted: cord, actual: division
394. predicted: division, actual: division
395. predicted: cord, actual: division
396. predicted: text, actual: division
397. predicted: cord, actual: division
398. predicted: cord, actual: division
399. predicted: cord, actual: division
400. predicted: cord, actual: division
0.6683291770573566
401. predicted: cord, actual: division
402. predicted: cord, actual: division
403. predicted: cord, actual: division
404. predicted: formation, actual: division
405. predicted: cord, actual: division
406. predicted: formation, actual: division
407. predicted: text, actual: division
408. predicted: cord, actual: division
409. predicted: formation, actual: division
410. predicted: formation, actual: division
411. predicted: formation, actual: division
412. predicted: cord, actual: division
413. predicted: cord, actual: division
414. predicted: formation, actual: division
415. predicted: cord, actual: division
416. predicted: text, actual: division
417. predicted: formation, actual: division
418. predicted: cord, actual: division
419. predicted: phone, actual: division
420. predicted: text, actual: division
421. predicted: cord, actual: division
422. predicted: formation, actual: division
423. predicted: cord, actual: division
424. predicted: formation, actual: division
425. predicted: text, actual: division
426. predicted: formation, actual: division
427. predicted: formation, actual: division
428. predicted: cord, actual: division
429. predicted: cord, actual: division
430. predicted: formation, actual: division
431. predicted: formation, actual: division
432. predicted: cord, actual: division
433. predicted: formation, actual: division
434. predicted: cord, actual: division
435. predicted: cord, actual: division
436. predicted: formation, actual: division
437. predicted: cord, actual: division
438. predicted: text, actual: division
439. predicted: formation, actual: division
440. predicted: formation, actual: division
441. predicted: cord, actual: division
442. predicted: formation, actual: division
443. predicted: cord, actual: division
444. predicted: formation, actual: division
445. predicted: cord, actual: division
446. predicted: cord, actual: division
447. predicted: cord, actual: division
448. predicted: cord, actual: division
449. predicted: formation, actual: division
450. predicted: cord, actual: division
451. predicted: cord, actual: division
452. predicted: formation, actual: division
453. predicted: cord, actual: division
454. predicted: formation, actual: division
455. predicted: text, actual: division
456. predicted: formation, actual: division
457. predicted: cord, actual: division
458. predicted: formation, actual: division
459. predicted: cord, actual: division
460. predicted: cord, actual: division
461. predicted: formation, actual: division
462. predicted: cord, actual: division
463. predicted: cord, actual: division
464. predicted: text, actual: division
465. predicted: formation, actual: division
466. predicted: text, actual: division
467. predicted: cord, actual: division
468. predicted: formation, actual: division
469. predicted: cord, actual: division
470. predicted: cord, actual: division
471. predicted: formation, actual: division
472. predicted: formation, actual: division
473. predicted: cord, actual: division
474. predicted: cord, actual: division
475. predicted: formation, actual: division
476. predicted: cord, actual: division
477. predicted: cord, actual: division
478. predicted: cord, actual: division
479. predicted: cord, actual: division
480. predicted: cord, actual: division
481. predicted: formation, actual: division
482. predicted: text, actual: division
483. predicted: cord, actual: division
484. predicted: formation, actual: division
485. predicted: cord, actual: division
486. predicted: formation, actual: division
487. predicted: cord, actual: division
488. predicted: formation, actual: division
489. predicted: text, actual: division
490. predicted: formation, actual: division
491. predicted: cord, actual: division
492. predicted: formation, actual: division
493. predicted: cord, actual: division
494. predicted: text, actual: division
495. predicted: cord, actual: division
496. predicted: cord, actual: division
497. predicted: cord, actual: division
498. predicted: cord, actual: division
499. predicted: formation, actual: division
500. predicted: formation, actual: division
0.5349301397205589
501. predicted: cord, actual: division
502. predicted: formation, actual: division
503. predicted: cord, actual: division
504. predicted: phone, actual: division
505. predicted: formation, actual: division
506. predicted: text, actual: division
507. predicted: formation, actual: division
508. predicted: formation, actual: division
509. predicted: cord, actual: division
510. predicted: formation, actual: division
511. predicted: formation, actual: division
512. predicted: formation, actual: division
513. predicted: formation, actual: division
514. predicted: division, actual: division
515. predicted: cord, actual: division
516. predicted: cord, actual: division
517. predicted: cord, actual: division
518. predicted: formation, actual: division
519. predicted: formation, actual: division
520. predicted: formation, actual: division
521. predicted: cord, actual: division
522. predicted: cord, actual: division
523. predicted: text, actual: division
524. predicted: division, actual: division
525. predicted: cord, actual: division
526. predicted: text, actual: division
527. predicted: text, actual: division
528. predicted: phone, actual: division
529. predicted: formation, actual: division
530. predicted: formation, actual: division
531. predicted: formation, actual: division
532. predicted: cord, actual: division
533. predicted: formation, actual: division
534. predicted: formation, actual: division
535. predicted: formation, actual: division
536. predicted: formation, actual: division
537. predicted: formation, actual: division
538. predicted: text, actual: division
539. predicted: cord, actual: division
540. predicted: cord, actual: division
541. predicted: formation, actual: division
542. predicted: text, actual: division
543. predicted: product, actual: division
544. predicted: division, actual: division
545. predicted: formation, actual: division
546. predicted: text, actual: division
547. predicted: formation, actual: division
548. predicted: formation, actual: division
549. predicted: formation, actual: division
550. predicted: formation, actual: division
551. predicted: formation, actual: division
552. predicted: cord, actual: division
553. predicted: formation, actual: division
554. predicted: cord, actual: division
555. predicted: cord, actual: division
556. predicted: formation, actual: division
557. predicted: cord, actual: division
558. predicted: cord, actual: division
559. predicted: cord, actual: division
560. predicted: text, actual: division
561. predicted: formation, actual: division
562. predicted: cord, actual: division
563. predicted: cord, actual: division
564. predicted: text, actual: division
565. predicted: formation, actual: division
566. predicted: formation, actual: division
567. predicted: formation, actual: division
568. predicted: text, actual: division
569. predicted: formation, actual: division
570. predicted: cord, actual: division
571. predicted: formation, actual: division
572. predicted: text, actual: division
573. predicted: formation, actual: division
574. predicted: formation, actual: division
575. predicted: cord, actual: division
576. predicted: formation, actual: division
577. predicted: formation, actual: division
578. predicted: cord, actual: division
579. predicted: cord, actual: division
580. predicted: formation, actual: division
581. predicted: formation, actual: division
582. predicted: cord, actual: division
583. predicted: formation, actual: division
584. predicted: text, actual: division
585. predicted: division, actual: division
586. predicted: cord, actual: division
587. predicted: formation, actual: division
588. predicted: cord, actual: division
589. predicted: cord, actual: division
590. predicted: formation, actual: division
591. predicted: formation, actual: division
592. predicted: text, actual: division
593. predicted: cord, actual: division
594. predicted: text, actual: division
595. predicted: formation, actual: division
596. predicted: formation, actual: division
597. predicted: text, actual: division
598. predicted: formation, actual: division
599. predicted: cord, actual: division
600. predicted: cord, actual: division
0.4525790349417637
601. predicted: formation, actual: division
602. predicted: cord, actual: division
603. predicted: formation, actual: division
604. predicted: formation, actual: division
605. predicted: text, actual: division
606. predicted: cord, actual: division
607. predicted: text, actual: division
608. predicted: formation, actual: division
609. predicted: text, actual: division
610. predicted: formation, actual: division
611. predicted: text, actual: division
612. predicted: formation, actual: division
613. predicted: cord, actual: division
614. predicted: cord, actual: division
615. predicted: cord, actual: division
616. predicted: cord, actual: division
617. predicted: formation, actual: division
618. predicted: formation, actual: division
619. predicted: cord, actual: division
620. predicted: text, actual: division
621. predicted: text, actual: division
622. predicted: formation, actual: division
623. predicted: formation, actual: division
624. predicted: formation, actual: division
625. predicted: formation, actual: division
626. predicted: text, actual: division
627. predicted: formation, actual: division
628. predicted: formation, actual: division
629. predicted: formation, actual: division
630. predicted: text, actual: division
631. predicted: formation, actual: division
632. predicted: formation, actual: division
633. predicted: cord, actual: division
634. predicted: formation, actual: division
635. predicted: cord, actual: division
636. predicted: formation, actual: division
637. predicted: text, actual: division
638. predicted: cord, actual: division
639. predicted: cord, actual: division
640. predicted: formation, actual: division
641. predicted: cord, actual: division
642. predicted: cord, actual: division
643. predicted: text, actual: division
644. predicted: formation, actual: division
645. predicted: formation, actual: division
646. predicted: formation, actual: division
647. predicted: cord, actual: division
648. predicted: formation, actual: division
649. predicted: text, actual: division
650. predicted: text, actual: division
651. predicted: formation, actual: division
652. predicted: division, actual: division
653. predicted: cord, actual: division
654. predicted: cord, actual: division
655. predicted: cord, actual: division
656. predicted: text, actual: division
657. predicted: text, actual: division
658. predicted: cord, actual: division
659. predicted: text, actual: division
660. predicted: cord, actual: division
661. predicted: cord, actual: division
662. predicted: formation, actual: division
663. predicted: cord, actual: division
664. predicted: cord, actual: division
665. predicted: formation, actual: division
666. predicted: cord, actual: division
667. predicted: cord, actual: division
668. predicted: formation, actual: division
669. predicted: cord, actual: division
670. predicted: formation, actual: division
671. predicted: cord, actual: division
672. predicted: cord, actual: division
673. predicted: text, actual: division
674. predicted: formation, actual: division
675. predicted: cord, actual: division
676. predicted: cord, actual: division
677. predicted: formation, actual: division
678. predicted: text, actual: division
679. predicted: cord, actual: division
680. predicted: cord, actual: division
681. predicted: cord, actual: division
682. predicted: cord, actual: division
683. predicted: cord, actual: division
684. predicted: cord, actual: division
685. predicted: text, actual: division
686. predicted: formation, actual: division
687. predicted: text, actual: division
688. predicted: formation, actual: division
689. predicted: formation, actual: division
690. predicted: cord, actual: division
691. predicted: text, actual: division
692. predicted: cord, actual: division
693. predicted: formation, actual: division
694. predicted: cord, actual: division
695. predicted: cord, actual: division
696. predicted: text, actual: division
697. predicted: cord, actual: division
698. predicted: cord, actual: division
699. predicted: phone, actual: division
700. predicted: text, actual: division
0.38944365192582026
701. predicted: cord, actual: division
702. predicted: cord, actual: division
703. predicted: division, actual: division
704. predicted: cord, actual: division
705. predicted: formation, actual: division
706. predicted: text, actual: division
707. predicted: text, actual: division
708. predicted: cord, actual: division
709. predicted: cord, actual: division
710. predicted: formation, actual: division
711. predicted: cord, actual: division
712. predicted: formation, actual: division
713. predicted: formation, actual: division
714. predicted: text, actual: division
715. predicted: formation, actual: division
716. predicted: cord, actual: division
717. predicted: formation, actual: division
718. predicted: cord, actual: division
719. predicted: formation, actual: division
720. predicted: cord, actual: division
721. predicted: cord, actual: division
722. predicted: cord, actual: division
723. predicted: cord, actual: division
724. predicted: formation, actual: division
725. predicted: cord, actual: division
726. predicted: cord, actual: division
727. predicted: cord, actual: division
728. predicted: formation, actual: division
729. predicted: cord, actual: division
730. predicted: cord, actual: division
731. predicted: text, actual: division
732. predicted: cord, actual: division
733. predicted: cord, actual: division
734. predicted: cord, actual: division
735. predicted: formation, actual: division
736. predicted: formation, actual: division
737. predicted: cord, actual: division
738. predicted: formation, actual: division
739. predicted: cord, actual: division
740. predicted: formation, actual: division
741. predicted: text, actual: division
742. predicted: formation, actual: division
743. predicted: text, actual: division
744. predicted: cord, actual: division
745. predicted: cord, actual: division
746. predicted: formation, actual: division
747. predicted: text, actual: formation
748. predicted: formation, actual: formation
749. predicted: formation, actual: formation
750. predicted: cord, actual: formation
751. predicted: formation, actual: formation
752. predicted: formation, actual: formation
753. predicted: phone, actual: formation
754. predicted: cord, actual: formation
755. predicted: formation, actual: formation
756. predicted: cord, actual: formation
757. predicted: formation, actual: formation
758. predicted: cord, actual: formation
759. predicted: cord, actual: formation
760. predicted: cord, actual: formation
761. predicted: formation, actual: formation
762. predicted: cord, actual: formation
763. predicted: formation, actual: formation
764. predicted: formation, actual: formation
765. predicted: text, actual: formation
766. predicted: formation, actual: formation
767. predicted: text, actual: formation
768. predicted: cord, actual: formation
769. predicted: cord, actual: formation
770. predicted: formation, actual: formation
771. predicted: cord, actual: formation
