0. predicted: HARD1, actual: HARD1
1.0
1. predicted: HARD1, actual: HARD1
2. predicted: HARD1, actual: HARD1
3. predicted: HARD1, actual: HARD1
4. predicted: HARD1, actual: HARD1
5. predicted: HARD1, actual: HARD1
6. predicted: HARD1, actual: HARD1
7. predicted: HARD1, actual: HARD1
8. predicted: HARD1, actual: HARD1
9. predicted: HARD1, actual: HARD1
10. predicted: HARD1, actual: HARD1
11. predicted: HARD1, actual: HARD1
12. predicted: HARD1, actual: HARD1
13. predicted: HARD1, actual: HARD1
14. predicted: HARD3, actual: HARD1
15. predicted: HARD1, actual: HARD1
16. predicted: HARD1, actual: HARD1
17. predicted: HARD3, actual: HARD1
18. predicted: HARD1, actual: HARD1
19. predicted: HARD1, actual: HARD1
20. predicted: HARD3, actual: HARD1
21. predicted: HARD1, actual: HARD1
22. predicted: HARD1, actual: HARD1
23. predicted: HARD1, actual: HARD1
24. predicted: HARD1, actual: HARD1
25. predicted: HARD1, actual: HARD1
26. predicted: HARD1, actual: HARD1
27. predicted: HARD1, actual: HARD1
28. predicted: HARD1, actual: HARD1
29. predicted: HARD1, actual: HARD1
30. predicted: HARD1, actual: HARD1
31. predicted: HARD1, actual: HARD1
32. predicted: HARD1, actual: HARD1
33. predicted: HARD1, actual: HARD1
34. predicted: HARD1, actual: HARD1
35. predicted: HARD1, actual: HARD1
36. predicted: HARD1, actual: HARD1
37. predicted: HARD1, actual: HARD1
38. predicted: HARD1, actual: HARD1
39. predicted: HARD1, actual: HARD1
40. predicted: HARD1, actual: HARD1
41. predicted: HARD1, actual: HARD1
42. predicted: HARD1, actual: HARD1
43. predicted: HARD1, actual: HARD1
44. predicted: HARD1, actual: HARD1
45. predicted: HARD1, actual: HARD1
46. predicted: HARD1, actual: HARD1
47. predicted: HARD1, actual: HARD1
48. predicted: HARD1, actual: HARD1
49. predicted: HARD1, actual: HARD1
50. predicted: HARD1, actual: HARD1
51. predicted: HARD1, actual: HARD1
52. predicted: HARD1, actual: HARD1
53. predicted: HARD1, actual: HARD1
54. predicted: HARD1, actual: HARD1
55. predicted: HARD1, actual: HARD1
56. predicted: HARD1, actual: HARD1
57. predicted: HARD1, actual: HARD1
58. predicted: HARD1, actual: HARD1
59. predicted: HARD1, actual: HARD1
60. predicted: HARD1, actual: HARD1
61. predicted: HARD1, actual: HARD1
62. predicted: HARD1, actual: HARD1
63. predicted: HARD1, actual: HARD1
64. predicted: HARD1, actual: HARD1
65. predicted: HARD1, actual: HARD1
66. predicted: HARD1, actual: HARD1
67. predicted: HARD1, actual: HARD1
68. predicted: HARD1, actual: HARD1
69. predicted: HARD1, actual: HARD1
70. predicted: HARD1, actual: HARD1
71. predicted: HARD1, actual: HARD1
72. predicted: HARD1, actual: HARD1
73. predicted: HARD1, actual: HARD1
74. predicted: HARD1, actual: HARD1
75. predicted: HARD1, actual: HARD1
76. predicted: HARD1, actual: HARD1
77. predicted: HARD1, actual: HARD1
78. predicted: HARD1, actual: HARD1
79. predicted: HARD1, actual: HARD1
80. predicted: HARD1, actual: HARD1
81. predicted: HARD1, actual: HARD1
82. predicted: HARD1, actual: HARD1
83. predicted: HARD1, actual: HARD1
84. predicted: HARD1, actual: HARD1
85. predicted: HARD1, actual: HARD1
86. predicted: HARD1, actual: HARD1
87. predicted: HARD1, actual: HARD1
88. predicted: HARD1, actual: HARD1
89. predicted: HARD1, actual: HARD1
90. predicted: HARD1, actual: HARD1
91. predicted: HARD1, actual: HARD1
92. predicted: HARD1, actual: HARD1
93. predicted: HARD1, actual: HARD1
94. predicted: HARD1, actual: HARD1
95. predicted: HARD1, actual: HARD1
96. predicted: HARD1, actual: HARD1
97. predicted: HARD1, actual: HARD1
98. predicted: HARD1, actual: HARD1
99. predicted: HARD1, actual: HARD1
100. predicted: HARD1, actual: HARD1
0.9702970297029703
101. predicted: HARD1, actual: HARD1
102. predicted: HARD1, actual: HARD1
103. predicted: HARD1, actual: HARD1
104. predicted: HARD1, actual: HARD1
105. predicted: HARD1, actual: HARD1
106. predicted: HARD1, actual: HARD1
107. predicted: HARD1, actual: HARD1
108. predicted: HARD1, actual: HARD1
109. predicted: HARD1, actual: HARD1
110. predicted: HARD3, actual: HARD1
111. predicted: HARD1, actual: HARD1
112. predicted: HARD1, actual: HARD1
113. predicted: HARD1, actual: HARD1
114. predicted: HARD1, actual: HARD1
115. predicted: HARD1, actual: HARD1
116. predicted: HARD1, actual: HARD1
117. predicted: HARD1, actual: HARD1
118. predicted: HARD1, actual: HARD1
119. predicted: HARD1, actual: HARD1
120. predicted: HARD1, actual: HARD1
121. predicted: HARD1, actual: HARD1
122. predicted: HARD1, actual: HARD1
123. predicted: HARD1, actual: HARD1
124. predicted: HARD1, actual: HARD1
125. predicted: HARD1, actual: HARD1
126. predicted: HARD1, actual: HARD1
127. predicted: HARD1, actual: HARD1
128. predicted: HARD1, actual: HARD1
129. predicted: HARD1, actual: HARD1
130. predicted: HARD1, actual: HARD1
131. predicted: HARD1, actual: HARD1
132. predicted: HARD1, actual: HARD1
133. predicted: HARD1, actual: HARD1
134. predicted: HARD1, actual: HARD1
135. predicted: HARD1, actual: HARD1
136. predicted: HARD1, actual: HARD1
137. predicted: HARD1, actual: HARD1
138. predicted: HARD1, actual: HARD1
139. predicted: HARD1, actual: HARD1
140. predicted: HARD1, actual: HARD1
141. predicted: HARD1, actual: HARD1
142. predicted: HARD1, actual: HARD1
143. predicted: HARD1, actual: HARD1
