0. predicted: SERVE10, actual: SERVE10
1.0
1. predicted: SERVE10, actual: SERVE10
2. predicted: SERVE12, actual: SERVE10
3. predicted: SERVE12, actual: SERVE10
4. predicted: SERVE10, actual: SERVE10
5. predicted: SERVE10, actual: SERVE10
6. predicted: SERVE10, actual: SERVE10
7. predicted: SERVE12, actual: SERVE10
8. predicted: SERVE10, actual: SERVE10
9. predicted: SERVE10, actual: SERVE10
10. predicted: SERVE12, actual: SERVE10
11. predicted: SERVE10, actual: SERVE10
12. predicted: SERVE10, actual: SERVE10
13. predicted: SERVE12, actual: SERVE10
14. predicted: SERVE12, actual: SERVE10
15. predicted: SERVE12, actual: SERVE10
16. predicted: SERVE12, actual: SERVE10
17. predicted: SERVE10, actual: SERVE10
18. predicted: SERVE10, actual: SERVE10
19. predicted: SERVE10, actual: SERVE10
20. predicted: SERVE10, actual: SERVE10
21. predicted: SERVE10, actual: SERVE10
22. predicted: SERVE12, actual: SERVE10
23. predicted: SERVE12, actual: SERVE10
24. predicted: SERVE10, actual: SERVE10
25. predicted: SERVE10, actual: SERVE10
26. predicted: SERVE10, actual: SERVE10
27. predicted: SERVE12, actual: SERVE10
28. predicted: SERVE10, actual: SERVE10
29. predicted: SERVE12, actual: SERVE10
30. predicted: SERVE12, actual: SERVE10
31. predicted: SERVE10, actual: SERVE10
32. predicted: SERVE12, actual: SERVE10
33. predicted: SERVE12, actual: SERVE10
34. predicted: SERVE10, actual: SERVE10
35. predicted: SERVE10, actual: SERVE10
36. predicted: SERVE10, actual: SERVE10
37. predicted: SERVE10, actual: SERVE10
38. predicted: SERVE12, actual: SERVE10
39. predicted: SERVE10, actual: SERVE10
40. predicted: SERVE12, actual: SERVE10
41. predicted: SERVE10, actual: SERVE10
42. predicted: SERVE10, actual: SERVE10
43. predicted: SERVE12, actual: SERVE10
44. predicted: SERVE12, actual: SERVE10
45. predicted: SERVE12, actual: SERVE10
46. predicted: SERVE10, actual: SERVE10
47. predicted: SERVE10, actual: SERVE10
48. predicted: SERVE12, actual: SERVE10
49. predicted: SERVE12, actual: SERVE10
50. predicted: SERVE10, actual: SERVE10
51. predicted: SERVE10, actual: SERVE10
52. predicted: SERVE12, actual: SERVE10
53. predicted: SERVE10, actual: SERVE10
54. predicted: SERVE12, actual: SERVE10
55. predicted: SERVE10, actual: SERVE10
56. predicted: SERVE10, actual: SERVE10
57. predicted: SERVE12, actual: SERVE10
58. predicted: SERVE10, actual: SERVE10
59. predicted: SERVE10, actual: SERVE10
60. predicted: SERVE10, actual: SERVE10
61. predicted: SERVE10, actual: SERVE10
62. predicted: SERVE12, actual: SERVE10
63. predicted: SERVE10, actual: SERVE10
64. predicted: SERVE12, actual: SERVE10
65. predicted: SERVE10, actual: SERVE10
66. predicted: SERVE10, actual: SERVE10
67. predicted: SERVE12, actual: SERVE10
68. predicted: SERVE12, actual: SERVE10
69. predicted: SERVE12, actual: SERVE10
70. predicted: SERVE10, actual: SERVE10
71. predicted: SERVE10, actual: SERVE10
72. predicted: SERVE12, actual: SERVE10
73. predicted: SERVE12, actual: SERVE10
74. predicted: SERVE10, actual: SERVE10
75. predicted: SERVE12, actual: SERVE10
76. predicted: SERVE12, actual: SERVE10
77. predicted: SERVE10, actual: SERVE10
78. predicted: SERVE10, actual: SERVE10
79. predicted: SERVE10, actual: SERVE10
80. predicted: SERVE10, actual: SERVE10
81. predicted: SERVE12, actual: SERVE10
82. predicted: SERVE12, actual: SERVE10
83. predicted: SERVE10, actual: SERVE10
84. predicted: SERVE12, actual: SERVE10
85. predicted: SERVE12, actual: SERVE10
86. predicted: SERVE12, actual: SERVE10
87. predicted: SERVE12, actual: SERVE10
88. predicted: SERVE12, actual: SERVE10
89. predicted: SERVE12, actual: SERVE10
90. predicted: SERVE12, actual: SERVE10
91. predicted: SERVE12, actual: SERVE10
92. predicted: SERVE12, actual: SERVE10
